Time,Station,Moisture,Temperature,Salinity,pH,Water_Root,Water_Leaf,Water_Level,Voltage
31/08/2023 23:59:00,SVDT3,28.4,27.0,11.2,7.6,0,0,1,16.0
31/08/2023 23:58:00,SVDT3,26.1,27.8,11.0,7.5,0,0,1,16.0
31/08/2023 23:57:00,SVDT3,28.4,27.0,11.5,7.8,0,0,1,15.9
31/08/2023 23:56:00,SVDT3,28.4,27.0,11.0,7.5,0,0,1,16.0
31/08/2023 23:55:00,SVDT3,28.4,27.0,11.3,7.6,0,0,1,16.0
31/08/2023 23:54:00,SVDT3,28.4,27.0,11.3,7.7,0,0,1,16.0
31/08/2023 23:53:00,SVDT3,28.4,27.0,10.8,7.4,0,0,1,15.9
31/08/2023 23:52:00,SVDT3,28.4,27.0,11.6,7.8,0,0,1,16.0
31/08/2023 23:51:00,SVDT3,28.4,27.0,10.8,7.4,0,0,1,16.0
31/08/2023 23:50:00,SVDT3,28.4,27.0,11.6,7.8,0,0,1,16.0
31/08/2023 23:49:00,SVDT3,28.4,27.0,11.2,7.6,0,0,1,16.0
31/08/2023 23:48:00,SVDT3,28.5,27.0,11.3,7.7,0,0,1,16.0
31/08/2023 23:47:00,SVDT3,28.5,27.0,11.2,7.6,0,0,1,16.0
31/08/2023 23:46:00,SVDT3,28.6,27.0,11.0,7.5,0,0,1,16.0
31/08/2023 23:45:00,SVDT3,28.5,27.0,11.2,7.6,0,0,1,16.0
31/08/2023 23:44:00,SVDT3,28.6,27.0,11.0,7.5,0,0,1,16.0
31/08/2023 23:43:00,SVDT3,28.6,27.0,11.3,7.7,0,0,1,16.0
31/08/2023 23:42:00,SVDT3,28.6,27.0,11.3,7.7,0,0,1,16.0
31/08/2023 23:41:00,SVDT3,28.6,27.0,11.2,7.6,0,0,1,16.0
31/08/2023 23:40:00,SVDT3,28.6,27.0,10.8,7.4,0,0,1,16.0
31/08/2023 23:39:00,SVDT3,26.2,27.8,10.5,7.3,0,0,1,16.0
31/08/2023 23:38:00,SVDT3,28.5,27.0,10.7,7.3,0,0,1,16.0
31/08/2023 23:37:00,SVDT3,28.4,27.0,11.4,7.7,0,0,1,16.0
31/08/2023 23:36:00,SVDT3,28.5,27.0,11.2,7.6,0,0,1,16.0
31/08/2023 23:35:00,SVDT3,28.5,27.0,11.2,7.6,0,0,1,16.0
31/08/2023 23:34:00,SVDT3,28.4,27.0,11.0,7.5,0,0,1,16.0
31/08/2023 23:33:00,SVDT3,28.5,27.0,11.3,7.7,0,0,1,16.0
31/08/2023 23:32:00,SVDT3,28.6,27.0,11.6,7.8,0,0,1,16.0
31/08/2023 23:31:00,SVDT3,28.6,27.0,10.9,7.5,0,0,1,16.0
31/08/2023 23:30:00,SVDT3,28.6,27.1,11.3,7.7,0,0,1,16.0
