Time,Station,pH,DO,Temperature,Salinity
31/05/2023 23:59:00,SVDT2,7.8,2.0,27.7,144.5
31/05/2023 23:58:00,SVDT2,7.8,2.0,27.7,144.6
31/05/2023 23:57:00,SVDT2,7.8,2.0,27.7,144.9
31/05/2023 23:56:00,SVDT2,7.8,2.0,27.7,145.4
31/05/2023 23:55:00,SVDT2,7.8,2.0,27.7,145.0
31/05/2023 23:54:00,SVDT2,7.8,2.0,27.7,145.0
31/05/2023 23:53:00,SVDT2,7.8,2.0,27.7,145.2
31/05/2023 23:52:00,SVDT2,7.8,2.0,27.7,144.8
31/05/2023 23:51:00,SVDT2,7.8,2.0,27.7,144.9
31/05/2023 23:50:00,SVDT2,7.8,2.0,27.7,144.9
31/05/2023 23:49:00,SVDT2,7.8,2.0,27.7,145.2
31/05/2023 23:48:00,SVDT2,7.8,2.0,27.7,145.1
31/05/2023 23:47:00,SVDT2,7.8,2.0,27.7,145.1
31/05/2023 23:46:00,SVDT2,7.8,2.0,27.7,144.9
31/05/2023 23:45:00,SVDT2,7.8,2.0,27.7,144.9
31/05/2023 23:44:00,SVDT2,7.8,2.0,27.7,145.2
31/05/2023 23:43:00,SVDT2,7.8,2.0,27.7,145.0
31/05/2023 23:42:00,SVDT2,7.8,2.0,27.7,145.0
31/05/2023 23:41:00,SVDT2,7.8,2.0,27.7,145.1
31/05/2023 23:40:00,SVDT2,7.8,2.0,27.7,144.9
31/05/2023 23:39:00,SVDT2,7.8,2.0,27.7,145.0
31/05/2023 23:38:00,SVDT2,7.8,2.0,27.7,144.8
31/05/2023 23:37:00,SVDT2,7.8,2.0,27.7,145.0
31/05/2023 23:36:00,SVDT2,7.8,2.0,27.7,145.2
31/05/2023 23:35:00,SVDT2,7.8,2.0,27.7,145.0
31/05/2023 23:34:00,SVDT2,7.8,2.0,27.7,145.1
31/05/2023 23:33:00,SVDT2,7.8,2.0,27.7,144.8
31/05/2023 23:32:00,SVDT2,7.8,2.0,27.7,145.3
31/05/2023 23:31:00,SVDT2,7.8,2.0,27.7,145.0
31/05/2023 23:30:00,SVDT2,7.8,2.0,27.7,145.0
31/05/2023 23:29:00,SVDT2,7.8,2.0,27.7,144.9
31/05/2023 23:28:00,SVDT2,7.8,2.0,27.7,145.0
31/05/2023 23:27:00,SVDT2,7.8,2.0,25.4,144.7
