Time,Station,Moisture,Temperature,Salinity,pH,Water_Root,Water_Leaf,Water_Level,Voltage
28/02/2023 23:59:00,SVDT3,24.1,26.3,19.3,5.8,0,0,0,12.7
28/02/2023 23:58:00,SVDT3,24.0,26.3,19.8,6.2,0,0,0,12.7
28/02/2023 23:57:00,SVDT3,22.1,27.1,17.7,5.8,0,0,0,12.7
28/02/2023 23:56:00,SVDT3,24.1,26.3,19.3,6.4,0,0,0,12.7
28/02/2023 23:55:00,SVDT3,24.1,26.3,19.4,6.4,0,0,0,12.7
28/02/2023 23:54:00,SVDT3,24.1,26.3,19.5,6.2,0,0,0,12.7
28/02/2023 23:53:00,SVDT3,24.1,26.3,19.3,6.2,0,0,0,12.7
28/02/2023 23:52:00,SVDT3,24.1,26.3,19.3,6.1,0,0,0,12.7
28/02/2023 23:51:00,SVDT3,24.1,26.3,19.6,6.3,0,0,0,12.7
28/02/2023 23:50:00,SVDT3,24.1,26.3,19.4,6.3,0,0,0,12.7
28/02/2023 23:49:00,SVDT3,24.1,26.3,19.3,6.5,0,0,0,12.7
28/02/2023 23:48:00,SVDT3,22.1,27.1,17.8,5.8,0,0,0,12.7
28/02/2023 23:47:00,SVDT3,24.1,26.4,19.5,6.3,0,0,0,12.7
28/02/2023 23:46:00,SVDT3,22.1,27.1,19.3,5.6,0,0,0,12.7
28/02/2023 23:45:00,SVDT3,24.1,26.3,19.6,6.4,0,0,0,12.7
28/02/2023 23:44:00,SVDT3,24.1,26.3,19.3,6.3,0,0,0,12.7
28/02/2023 23:43:00,SVDT3,24.1,26.4,19.7,6.2,0,0,0,12.7
28/02/2023 23:42:00,SVDT3,24.1,26.4,19.6,6.3,0,0,0,12.7
28/02/2023 23:41:00,SVDT3,24.1,26.3,19.6,6.3,0,0,0,12.7
28/02/2023 23:40:00,SVDT3,24.1,26.4,19.1,6.4,0,0,0,12.7
28/02/2023 23:39:00,SVDT3,24.1,26.3,19.5,6.3,0,0,0,12.7
28/02/2023 23:38:00,SVDT3,24.1,26.4,19.7,6.1,0,0,0,12.7
28/02/2023 23:37:00,SVDT3,24.1,26.4,19.3,6.3,0,0,0,12.7
28/02/2023 23:36:00,SVDT3,24.1,26.4,19.4,6.1,0,0,0,12.7
28/02/2023 23:35:00,SVDT3,24.1,26.4,19.3,6.4,0,0,0,12.7
28/02/2023 23:34:00,SVDT3,24.1,26.4,19.5,6.2,0,0,0,12.7
28/02/2023 23:33:00,SVDT3,22.1,27.3,19.3,5.8,0,0,0,12.7
28/02/2023 23:32:00,SVDT3,24.1,26.4,19.4,6.2,0,0,0,12.7
28/02/2023 23:31:00,SVDT3,24.1,26.4,19.5,6.4,0,0,0,12.7
28/02/2023 23:30:00,SVDT3,24.1,26.4,19.4,6.1,0,0,0,12.7
28/02/2023 23:29:00,SVDT3,24.1,26.4,19.4,6.4,0,0,0,12.7
28/02/2023 23:28:00,SVDT3,24.0,26.4,19.5,6.2,0,0,0,12.7
28/02/2023 23:27:00,SVDT3,24.1,26.4,19.4,6.3,0,0,0,12.7
28/02/2023 23:26:00,SVDT3,24.1,26.4,19.3,6.3,0,0,0,12.7
28/02/2023 23:25:00,SVDT3,24.1,26.4,19.5,6.4,0,0,0,12.7
28/02/2023 23:24:00,SVDT3,22.1,27.3,19.3,5.7,0,0,0,12.7
28/02/2023 23:23:00,SVDT3,24.1,26.4,19.5,5.9,0,0,0,12.7
28/02/2023 23:22:00,SVDT3,24.1,26.4,19.3,6.2,0,0,0,12.7
28/02/2023 23:21:00,SVDT3,24.1,26.4,19.3,6.2,0,0,0,12.7
28/02/2023 23:20:00,SVDT3,24.1,26.4,19.5,5.7,0,0,0,12.7
28/02/2023 23:19:00,SVDT3,24.1,26.4,19.5,6.3,0,0,0,12.7
28/02/2023 23:18:00,SVDT3,24.1,26.4,19.5,6.2,0,0,0,12.7
28/02/2023 23:17:00,SVDT3,22.1,27.3,17.8,5.7,0,0,0,12.7
28/02/2023 23:16:00,SVDT3,22.1,27.3,17.6,5.7,0,0,0,12.7
28/02/2023 23:15:00,SVDT3,22.0,27.3,18.2,5.6,0,0,0,12.7
28/02/2023 23:14:00,SVDT3,24.1,26.4,19.5,6.2,0,0,0,12.7
28/02/2023 23:13:00,SVDT3,24.1,26.4,19.4,6.4,0,0,0,12.7
28/02/2023 23:12:00,SVDT3,22.1,27.3,17.8,5.7,0,0,0,12.7
28/02/2023 23:11:00,SVDT3,24.1,26.4,19.3,6.4,0,0,0,12.7
28/02/2023 23:10:00,SVDT3,24.1,26.4,19.3,6.3,0,0,0,12.7
28/02/2023 23:09:00,SVDT3,24.1,26.4,19.5,6.2,0,0,0,12.7
28/02/2023 23:08:00,SVDT3,24.1,26.4,19.3,6.2,0,0,0,12.7
28/02/2023 23:07:00,SVDT3,22.1,27.2,19.3,5.5,0,0,0,12.7
28/02/2023 23:06:00,SVDT3,24.1,26.4,19.4,6.4,0,0,0,12.7
28/02/2023 23:05:00,SVDT3,24.1,26.4,19.3,6.2,0,0,0,12.7
28/02/2023 23:04:00,SVDT3,24.1,26.4,19.4,6.2,0,0,0,12.7
28/02/2023 23:03:00,SVDT3,24.1,26.4,19.3,6.2,0,0,0,12.7
28/02/2023 23:02:00,SVDT3,24.1,26.4,19.4,6.5,0,0,0,12.7
28/02/2023 23:01:00,SVDT3,24.1,26.4,19.4,6.3,0,0,0,12.7
28/02/2023 23:00:00,SVDT3,24.1,26.4,19.3,6.2,0,0,0,12.7
28/02/2023 22:59:00,SVDT3,24.1,26.4,19.2,6.4,0,0,0,12.7
28/02/2023 22:58:00,SVDT3,24.1,26.4,19.3,5.7,0,0,0,12.7
28/02/2023 22:57:00,SVDT3,24.1,26.4,19.5,6.4,0,0,0,12.7
